mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	1	0	10.0	0	0	3/4	1	1	0	.a.i[i	dcml
4	4	10	2.0	1/4	1/4	3/4	1	1	0	V	dcml
5	5	12	1.0	0	0	3/4	1	1	0	i	dcml
5	5	13	2.0	1/4	1/4	3/4	1	1	0	V	dcml
6	6	15	3.0	0	0	3/4	1	1	0	i	dcml
7	7	18	1.0	0	0	3/4	1	1	0	V7	dcml
7	7	19	2.0	1/4	1/4	3/4	1	1	0	i	dcml
8	8	21	1.0	0	0	3/4	1	1	0	V7	dcml
8	8	22	5.0	1/4	1/4	3/4	1	1	0	i\\	dcml
10	10	27	3.0	0	0	3/4	1	1	0	V	dcml
11	11	30	4.0	0	0	3/4	1	1	0	i	dcml
12	12	34	2.0	1/4	1/4	3/4	1	1	0	V	dcml
13	13	36	3.0	0	0	3/4	1	1	0	i	dcml
14	14	39	3.0	0	0	3/4	1	1	0	V	dcml
15	15	42	4.0	0	0	3/4	1	1	0	i	dcml
16	16	46	2.0	1/4	1/4	3/4	1	1	0	V	dcml
17	17	48	2.0	0	0	3/4	1	1	0	i	dcml
17	17	50	1.0	1/2	1/2	3/4	1	1	0	V6	dcml
18	18	51	1.0	0	0	3/4	1	1	0	V(4)	dcml
18	18	52	2.0	1/4	1/4	3/4	1	1	0	V	dcml
19	19	54	3.0	0	0	3/4	1	1	0	i	dcml
20	20	57	1.0	0	0	3/4	1	1	0	V7	dcml
20	20	58	6.0	1/4	1/4	3/4	1	1	0	i\\	dcml
22	22	64	2.0	1/4	1/4	3/4	1	1	0	V	dcml
23	23	66	3.0	0	0	3/4	1	1	0	i	dcml
24	24	69	1.0	0	0	3/4	1	1	0	V7	dcml
24	24	70	14.0	1/4	1/4	3/4	1	1	0	i\\	dcml
29	29	84	1.0	0	0	3/4	1	1	0	V7	dcml
29	29	85	2.0	1/4	1/4	3/4	1	1	0	i	dcml
30	30	87	1.0	0	0	3/4	1	1	0	V7	dcml
30	30	88	5.0	1/4	1/4	3/4	1	1	0	i\\	dcml
32	32	93	3.0	0	0	3/4	1	1	0	V	dcml
33	33	96	4.0	0	0	3/4	1	1	0	i	dcml
34	34	100	2.0	1/4	1/4	3/4	1	1	0	V7	dcml
35	35	102	3.0	0	0	3/4	1	1	0	i	dcml
36	36	105	3.0	0	0	3/4	1	1	0	V	dcml
37	37	108	4.0	0	0	3/4	1	1	0	i	dcml
38	38	112	2.0	1/4	1/4	3/4	1	1	0	V7	dcml
39	39	114	2.0	0	0	3/4	1	1	0	i	dcml
39	39	116	1.0	1/2	1/2	3/4	1	1	0	V6	dcml
40	40	117	1.0	0	0	3/4	1	1	0	V(4)	dcml
40	40	118	2.0	1/4	1/4	3/4	1	1	0	V	dcml
41	41	120	3.0	0	0	3/4	1	1	0	i	dcml
42	42	123	1.0	0	0	3/4	1	1	0	V7	dcml
42	42	124	4.0	1/4	1/4	3/4	1	1	0	i\\	dcml
43	43	128	1.0	1/2	1/2	3/4	1	1	0	V6	dcml
44	44	129	1.0	0	0	3/4	1	1	0	V(4)	dcml
44	44	130	2.0	1/4	1/4	3/4	1	1	0	V	dcml
45	45	132	3.0	0	0	3/4	1	1	0	i	dcml
46	46	135	1.0	0	0	3/4	1	1	0	V7	dcml
46	46	136	14.0	1/4	1/4	3/4	1	1	0	i\\	dcml
51	51	150	1.0	0	0	3/4	1	1	0	V7	dcml
51	51	151	2.0	1/4	1/4	3/4	1	1	0	i	dcml
52	52	153	1.0	0	0	3/4	1	1	0	V7	dcml
52	52	154	2.0	1/4	1/4	3/4	1	1	0	i	dcml
53	53	156	1.0	0	0	3/4	1	1	0	V7	dcml
53	53	157	2.0	1/4	1/4	3/4	1	1	0	i	dcml
54	54	159	1.0	0	0	3/4	1	1	0	V7	dcml
54	54	160	5.0	1/4	1/4	3/4	1	1	0	i	dcml
56	56	165	2.0	0	0	3/4	1	1	0	V	dcml
56	56	167	1.0	1/2	1/2	3/4	1	1	0	i	dcml
57	57	168	2.0	0	0	3/4	1	1	0	V	dcml
57	57	170	8.0	1/2	1/2	3/4	1	1	0	i	dcml
60	60	178	2.0	1/4	1/4	3/4	1	1	0	V	dcml
61	61	180	3.0	0	0	3/4	1	1	0	i\\]	
