mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	diminuendo_line	crescendo_line
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	17									0				
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	18													
2	2	2	2	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	19									1				
2	2	13/6	13/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	20									1				
2	2	7/3	7/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	21									1				
2	2	5/2	5/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	22									1				
2	2	8/3	8/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	23									1				
2	2	17/6	17/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	24									1				
2	2	3	3	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	25									1				
2	2	19/6	19/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	26									1				
2	2	10/3	10/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	27									1				
2	2	7/2	7/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	28									1				
2	2	11/3	11/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	29									1				
2	2	23/6	23/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	30													
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	31													
3	3	9/2	9/2	0.0	1/8	1/8	Spanner	2/4	2	1	0														0			
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	32										0			
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0																	
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	2	1	0															0		
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	33											0		
3	3	11/2	11/2	0.0	3/8	3/8	Spanner	2/4	2	1	0																	
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	34													
3	3	4	4	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	35									2				
3	3	25/6	25/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	36									2				
3	3	13/3	13/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	37									2				
3	3	9/2	9/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	38									2				
3	3	14/3	14/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	39									2				
3	3	29/6	29/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	40									2				
3	3	5	5	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	41									2				
3	3	31/6	31/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	42									2				
3	3	16/3	16/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	43									2				
3	3	11/2	11/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	44									2				
3	3	17/3	17/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	45									2				
3	3	35/6	35/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	46													
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	47													
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	48													
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	49													
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	50													
4	4	6	6	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	51									3				
4	4	37/6	37/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	52									3				
4	4	19/3	19/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	53									3				
4	4	13/2	13/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	54									3				
4	4	20/3	20/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	55									3				
4	4	41/6	41/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	56									3				
4	4	7	7	0.16666666666666666	1/4	1/4	Chord	2/4	3	1	1/24		1/16	2/3	57									3				
4	4	43/6	43/6	0.16666666666666666	7/24	7/24	Chord	2/4	3	1	1/24		1/16	2/3	58									3				
4	4	22/3	22/3	0.16666666666666666	1/3	1/3	Chord	2/4	3	1	1/24		1/16	2/3	59									3				
4	4	15/2	15/2	0.16666666666666666	3/8	3/8	Chord	2/4	3	1	1/24		1/16	2/3	60									3				
4	4	23/3	23/3	0.16666666666666666	5/12	5/12	Chord	2/4	3	1	1/24		1/16	2/3	61									3				
4	4	47/6	47/6	0.16666666666666666	11/24	11/24	Chord	2/4	3	1	1/24		1/16	2/3	62													
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0						p											
5	5	8	8	0.0	0	0	Dynamic	2/4	1	1	0						p											
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	63													
5	5	55/6	55/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	64									4				
5	5	28/3	28/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	65													
5	5	29/3	29/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	66									5				
5	5	59/6	59/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	67													
5	5	8	8	0.16666666666666666	0	0	Chord	2/4	3	1	1/24		1/16	2/3	68													
5	5	49/6	49/6	0.16666666666666666	1/24	1/24	Chord	2/4	3	1	1/24		1/16	2/3	69													
5	5	25/3	25/3	0.16666666666666666	1/12	1/12	Chord	2/4	3	1	1/24		1/16	2/3	70													
5	5	17/2	17/2	0.16666666666666666	1/8	1/8	Chord	2/4	3	1	1/24		1/16	2/3	71													
5	5	26/3	26/3	0.16666666666666666	1/6	1/6	Chord	2/4	3	1	1/24		1/16	2/3	72													
5	5	53/6	53/6	0.16666666666666666	5/24	5/24	Chord	2/4	3	1	1/24		1/16	2/3	73													
5	5	8	8	0.5	0	0	Chord	2/4	3	2	1/8		1/8	1	74									6				
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	3	2	1/8		1/8	1	75									6				
5	5	9	9	0.5	1/4	1/4	Chord	2/4	3	2	1/8		1/8	1	76									6				
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	3	2	1/8		1/8	1	77													
6	6	10	10	0.0	0	0	Dynamic	2/4	1	1	0						p											
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	78	Ei-												
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	79	-ne												
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	80	Krä-												
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	81	-he												
6	6	61/6	61/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	82									7				
6	6	31/3	31/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	83													
6	6	32/3	32/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	84									8				
6	6	65/6	65/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	85													
6	6	67/6	67/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	86									9				
6	6	34/3	34/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	87													
6	6	35/3	35/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	88									10				
6	6	71/6	71/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	89													
6	6	10	10	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	90									11				
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	91									11				
6	6	11	11	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	92									11				
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	93									11				
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	94	war												
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	95	mit												
7	7	13	13	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	96	mir												
7	7	73/6	73/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	97									12				
7	7	37/3	37/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	98													
7	7	38/3	38/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	99									13				
7	7	77/6	77/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	100													
7	7	79/6	79/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	101									14				
7	7	40/3	40/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	102													
7	7	41/3	41/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	103									15				
7	7	83/6	83/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	104													
7	7	12	12	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	105									11				
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	106									11				
7	7	13	13	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	107									11				
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	108													
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	109	Aus												
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	110	der												
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	111	Stadt												
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	112	ge												
8	8	85/6	85/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	113									16				
8	8	43/3	43/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	114													
8	8	44/3	44/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	115									17				
8	8	89/6	89/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	116													
8	8	91/6	91/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	117									18				
8	8	46/3	46/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	118													
8	8	47/3	47/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	119									19				
8	8	95/6	95/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	120													
8	8	14	14	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	121									20				
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	122									20				
8	8	15	15	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	123									20				
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	124									20				
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	125	zo-												
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	126													
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	127	-gen,												
9	9	97/6	97/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	128									21				
9	9	49/3	49/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	129													
9	9	50/3	50/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	130									22				
9	9	101/6	101/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	131													
9	9	103/6	103/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	132									23				
9	9	52/3	52/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	133													
9	9	53/3	53/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	134									24				
9	9	107/6	107/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	135													
9	9	16	16	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	136									20				
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	137									20				
9	9	17	17	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	138									20				
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	139									20				
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	140													
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	141	Ist												
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	142	bis												
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	143	heu-												
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	144	-te												
10	10	109/6	109/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	145													
10	10	55/3	55/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	146													
10	10	56/3	56/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	147													
10	10	113/6	113/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	148													
10	10	115/6	115/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	149													
10	10	58/3	58/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	150													
10	10	59/3	59/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	151													
10	10	119/6	119/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	152													
10	10	18	18	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	153									25				
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	154									25				
10	10	19	19	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	155									25				
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	156									25				
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	157	für												
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	158	und												
11	11	21	21	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	159	für												
11	11	121/6	121/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	160													
11	11	61/3	61/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	161													
11	11	62/3	62/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	162													
11	11	125/6	125/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	163													
11	11	127/6	127/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	164													
11	11	64/3	64/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	165													
11	11	65/3	65/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	166													
11	11	131/6	131/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	167													
11	11	20	20	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	168									25				
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	169									25				
11	11	21	21	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	170									25				
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	171													
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	172	Um												
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	173	mein												
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	174	Haupt												
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	175	ge-												
12	12	133/6	133/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	176													
12	12	67/3	67/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	177													
12	12	68/3	68/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	178													
12	12	137/6	137/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	179													
12	12	139/6	139/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	180													
12	12	70/3	70/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	181													
12	12	71/3	71/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	182													
12	12	143/6	143/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	183													
12	12	22	22	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	184									26				
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	185									26				
12	12	23	23	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	186									26				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	187													
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	188	-flo-												
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	189	-gen.												
13	13	145/6	145/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	190													
13	13	73/3	73/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	191													
13	13	74/3	74/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	192													
13	13	149/6	149/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	193													
13	13	151/6	151/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	194													
13	13	76/3	76/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	195													
13	13	77/3	77/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	196													
13	13	155/6	155/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	197													
13	13	24	24	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	198									27				
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	199									27				
13	13	25	25	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	200									27				
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	201													
14	14	157/6	157/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	202													
14	14	79/3	79/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	203													
14	14	80/3	80/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	204													
14	14	161/6	161/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	205													
14	14	163/6	163/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	206													
14	14	82/3	82/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	207													
14	14	83/3	83/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	208													
14	14	167/6	167/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	209													
14	14	26	26	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	210									28				
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	211									28				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	212									28				
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	213									28				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	214													
15	15	169/6	169/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	215													
15	15	85/3	85/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	216													
15	15	86/3	86/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	217													
15	15	173/6	173/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	218													
15	15	175/6	175/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	219													
15	15	88/3	88/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	220													
15	15	89/3	89/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	221													
15	15	179/6	179/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	222													
15	15	28	28	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	223									29				
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	224									29				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	225													
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	226									30				
16	16	30	30	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	227													
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	228	Krä-												
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	229	-he,												
16	16	181/6	181/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	230													
16	16	91/3	91/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	231													
16	16	92/3	92/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	232													
16	16	185/6	185/6	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	233													
16	16	187/6	187/6	0.16666666666666666	7/24	7/24	Chord	2/4	2	1	1/24		1/16	2/3	234													
16	16	94/3	94/3	0.16666666666666666	1/3	1/3	Chord	2/4	2	1	1/24		1/16	2/3	235													
16	16	95/3	95/3	0.16666666666666666	5/12	5/12	Chord	2/4	2	1	1/24		1/16	2/3	236													
16	16	191/6	191/6	0.16666666666666666	11/24	11/24	Chord	2/4	2	1	1/24		1/16	2/3	237													
16	16	30	30	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	238									30				
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	239									30				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	240									30				
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	241									30				
17	17	32	32	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	242	wun-												
17	17	259/8	259/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	243	-der-												
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	244	-li-												
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	245	-ches												
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	246	Tier,												
17	17	193/6	193/6	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	247													
17	17	97/3	97/3	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	248													
17	17	98/3	98/3	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	249													
