mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0				
1	0	0	0	0.0	0	5/8	Dynamic	6/8	2	1	0						pp											
1	0	0	0	0.5	0	5/8	Chord	6/8	2	1	1/8		1/8	1	0													
2	1	1/2	1/2	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	1										0			
2	1	5/4	5/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2										0			
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	3													
2	1	2	2	0.0	3/8	3/8	Chord	6/8	2	1	0	grace16	1/16	1	4													
2	1	2	2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	5													
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	6													
2	1	1/2	1/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	7										1			
2	1	1	1	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	8													
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	9			articStaccatoAbove										
2	1	2	2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	10			articStaccatoAbove							2			
2	1	5/2	5/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	11													
2	1	3	3	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	12			articStaccatoAbove										
3	2	7/2	7/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	13										3			
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	14													
3	2	6	6	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	15													
3	2	7/2	7/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	16										4			
3	2	4	4	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	17													
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	18			articStaccatoAbove										
3	2	5	5	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	19										5			
3	2	11/2	11/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	20													
3	2	6	6	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	21			articStaccatoAbove										
4	3	13/2	13/2	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	22			ornamentShortTrill							6			
4	3	29/4	29/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	23										6			
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	24													
4	3	8	8	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	25			ornamentShortTrill							7			
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	26										7			
4	3	9	9	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	27													
4	3	13/2	13/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	28										8			
4	3	7	7	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	29													
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	30													
4	3	8	8	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	31										9			
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	32													
4	3	9	9	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	33			articStaccatoAbove										
5	4	12	12	0.0	5/8	5/8	Dynamic	6/8	1	1	0						p											
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	34	Ich												
5	4	19/2	19/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	35													
5	4	19/2	19/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	36										10			
5	4	10	10	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	37													
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	38													
5	4	11	11	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	39													
6	5	25/2	25/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	40	träum-												
6	5	53/4	53/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	41	-te												
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	42	von												
6	5	14	14	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	43	bun-												
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	44	-ten												
6	5	25/2	25/2	0.0	0	0	Dynamic	6/8	2	1	0						p											
6	5	25/2	25/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	45										11			
6	5	13	13	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	46										11			
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	47													
6	5	14	14	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	48										12			
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	49										12			
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	50													
6	5	25/2	25/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	51													
6	5	14	14	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	52													
7	6	31/2	31/2	0.0	0	0	Chord	6/8	1	1	0	appoggiatura	1/8	1	53													
7	6	31/2	31/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	54	Blu-												
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	55	-men,												
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	56	so												
7	6	31/2	31/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	57										13			
7	6	16	16	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	58										13			
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	59													
7	6	17	17	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	60										14			
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	61										14			
7	6	18	18	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	62													
7	6	31/2	31/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	63													
7	6	17	17	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	64													
8	7	37/2	37/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	65	wie												
8	7	77/4	77/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	66	sie												
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	67	wohl												
